زمان,باران 6 (mm),تابش خورشیدی 7 (W/m2),جهت باد 5 (degree),دما 1 (°C),رطوبت 2 (%),سرعت باد 4 (km/h),فشار هوا 3 (kPa)
17:20                                                     1405/04/16,355.2mm,66W/m2,80.6degree,12.0°C,60.7%,7.5km/h,91.9kPa
17:20                                                     1405/04/17,355.2mm,41W/m2,65.9degree,14.2°C,44.4%,15.7km/h,92.1kPa
17:20                                                     1405/04/18,355.2mm,66W/m2,101.7degree,20.3°C,36.3%,5.3km/h,91.7kPa
17:20                                                     1405/04/19,355.2mm,125W/m2,166.2degree,26.7°C,25.0%,7.5km/h,91.2kPa
17:20                                                     1405/04/20,355.2mm,60W/m2,243.3degree,28.4°C,30.5%,1.9km/h,91.0kPa
17:20                                                     1405/04/21,355.2mm,41W/m2,98.2degree,23.3°C,42.1%,6.1km/h,90.9kPa
17:20                                                     1405/04/22,358.8mm,7W/m2,321.6degree,19.2°C,78.3%,3.6km/h,91.3kPa
17:20                                                     1405/04/23,367.4mm,71W/m2,108.3degree,24.9°C,47.5%,6.2km/h,91.3kPa
17:20                                                     1405/04/24,376.8mm,45W/m2,3.5degree,22.5°C,53.2%,4.3km/h,91.5kPa
17:20                                                     1405/04/25,376.8mm,41W/m2,100.1degree,27.5°C,40.3%,2.9km/h,91.5kPa
17:20                                                     1405/04/27,376.8mm,25W/m2,79.4degree,23.5°C,40.9%,3.3km/h,91.2kPa
17:20                                                     1405/04/28,376.8mm,43W/m2,59.3degree,25.6°C,29.1%,14.0km/h,91.3kPa
17:20                                                     1405/04/29,376.8mm,101W/m2,83.2degree,26.4°C,32.0%,10.9km/h,91.2kPa
17:20                                                     1405/04/30,376.8mm,51W/m2,65.0degree,21.7°C,45.2%,13.8km/h,91.3kPa
17:20                                                     1405/05/01,376.8mm,13W/m2,75.4degree,16.6°C,61.5%,8.9km/h,91.8kPa
17:20                                                     1405/05/02,376.8mm,103W/m2,82.0degree,23.5°C,41.3%,7.6km/h,91.7kPa
17:20                                                     1405/05/03,376.8mm,102W/m2,76.5degree,24.8°C,31.8%,15.4km/h,91.7kPa
17:20                                                     1405/05/04,376.8mm,98W/m2,94.2degree,28.5°C,22.1%,4.1km/h,91.5kPa
17:20                                                     1405/05/05,376.8mm,91W/m2,149.4degree,33.1°C,16.0%,8.4km/h,91.4kPa
17:20                                                     1405/05/06,376.8mm,80W/m2,135.2degree,34.1°C,16.6%,4.2km/h,91.2kPa
17:20                                                     1405/05/07,376.8mm,105W/m2,102.0degree,28.6°C,34.4%,13.2km/h,91.4kPa
17:20                                                     1405/05/08,376.8mm,92W/m2,73.6degree,28.2°C,30.6%,12.4km/h,91.5kPa
17:20                                                     1405/05/09,376.8mm,44W/m2,40.7degree,23.5°C,34.7%,11.3km/h,91.6kPa
17:20                                                     1405/05/10,378.4mm,106W/m2,68.7degree,21.1°C,52.5%,17.3km/h,92.0kPa
17:30                                                     1405/03/21,290.2mm,10W/m2,294.9degree,21.1°C,29.3%,7.7km/h,91.1kPa
17:30                                                     1405/03/22,290.6mm,10W/m2,294.7degree,15.3°C,63.8%,5.2km/h,91.9kPa
17:30                                                     1405/03/23,290.6mm,9W/m2,138.8degree,23.1°C,34.7%,5.0km/h,91.8kPa
17:30                                                     1405/03/25,295.0mm,20W/m2,137.7degree,16.6°C,84.7%,4.8km/h,90.8kPa
17:30                                                     1405/03/26,295.0mm,11W/m2,192.5degree,22.2°C,47.9%,12.5km/h,91.2kPa
17:30                                                     1405/03/27,297.2mm,7W/m2,195.9degree,22.3°C,50.4%,34.2km/h,90.7kPa
17:30                                                     1405/03/29,304.2mm,6W/m2,303.7degree,17.3°C,49.1%,2.8km/h,90.9kPa
17:30                                                     1405/03/30,325.8mm,9W/m2,202.2degree,21.7°C,26.5%,8.9km/h,91.0kPa
17:30                                                     1405/03/31,325.8mm,15W/m2,165.6degree,23.5°C,24.3%,6.7km/h,90.8kPa
17:30                                                     1405/04/01,350.4mm,8W/m2,22.8degree,11.1°C,80.7%,3.5km/h,91.5kPa
17:30                                                     1405/04/03,350.6mm,34W/m2,157.1degree,18.5°C,53.5%,3.6km/h,91.3kPa
17:30                                                     1405/04/04,350.6mm,12W/m2,211.4degree,20.9°C,40.4%,16.7km/h,90.8kPa
17:30                                                     1405/04/08,406.4mm,74W/m2,122.8degree,15.7°C,64.7%,3.0km/h,91.4kPa
17:30                                                     1405/04/09,406.4mm,55W/m2,77.3degree,16.5°C,55.5%,4.0km/h,91.5kPa
17:30                                                     1405/04/11,406.8mm,54W/m2,140.3degree,23.2°C,36.9%,2.8km/h,92.3kPa
17:30                                                     1405/04/12,355.2mm,68W/m2,181.2degree,23.6°C,34.7%,4.6km/h,91.7kPa
17:30                                                     1405/04/13,355.2mm,35W/m2,179.9degree,23.6°C,40.9%,7.0km/h,91.3kPa
17:30                                                     1405/04/14,355.2mm,38W/m2,282.0degree,23.8°C,23.2%,16.8km/h,91.3kPa
17:30                                                     1405/04/15,355.2mm,31W/m2,57.8degree,16.5°C,52.5%,17.8km/h,91.6kPa
17:30                                                     1405/04/16,355.2mm,46W/m2,89.5degree,11.7°C,61.8%,22.2km/h,92.0kPa
17:30                                                     1405/04/17,355.2mm,32W/m2,51.1degree,14.0°C,45.5%,12.4km/h,92.1kPa
17:30                                                     1405/04/18,355.2mm,46W/m2,100.3degree,19.7°C,36.7%,10.4km/h,91.7kPa
17:30                                                     1405/04/19,355.2mm,66W/m2,171.4degree,26.3°C,26.2%,7.6km/h,91.2kPa
17:30                                                     1405/04/20,355.2mm,36W/m2,313.1degree,27.2°C,33.0%,3.7km/h,91.0kPa
17:30                                                     1405/04/21,355.2mm,20W/m2,79.3degree,23.0°C,43.0%,4.8km/h,91.0kPa
17:30                                                     1405/04/22,362.8mm,11W/m2,131.9degree,18.7°C,82.4%,4.1km/h,91.3kPa
17:30                                                     1405/04/24,376.8mm,70W/m2,318.8degree,22.0°C,56.2%,5.8km/h,91.4kPa
17:30                                                     1405/04/25,376.8mm,33W/m2,17.4degree,27.4°C,40.4%,0.9km/h,91.5kPa
17:30                                                     1405/04/27,376.8mm,15W/m2,121.9degree,23.2°C,42.1%,3.7km/h,91.3kPa
17:30                                                     1405/04/29,376.8mm,76W/m2,86.1degree,26.1°C,32.2%,14.1km/h,91.2kPa
17:30                                                     1405/04/30,376.8mm,48W/m2,49.0degree,21.4°C,45.9%,12.5km/h,91.4kPa
17:30                                                     1405/05/01,376.8mm,7W/m2,41.1degree,16.5°C,61.3%,9.8km/h,91.8kPa
17:30                                                     1405/05/03,376.8mm,79W/m2,70.4degree,24.3°C,32.0%,12.3km/h,91.7kPa
17:30                                                     1405/05/04,376.8mm,72W/m2,113.0degree,28.3°C,22.2%,8.9km/h,91.5kPa
17:30                                                     1405/05/05,376.8mm,67W/m2,141.5degree,32.7°C,18.1%,4.1km/h,91.4kPa
17:30                                                     1405/05/07,376.8mm,80W/m2,55.6degree,28.4°C,35.1%,14.0km/h,91.4kPa
17:30                                                     1405/05/08,376.8mm,74W/m2,61.4degree,27.8°C,31.0%,13.7km/h,91.5kPa
17:30                                                     1405/05/09,376.8mm,37W/m2,52.1degree,23.3°C,35.2%,6.2km/h,91.6kPa
17:30                                                     1405/05/10,378.4mm,75W/m2,78.1degree,20.7°C,54.3%,27.7km/h,92.0kPa
17:40                                                     1405/03/21,290.2mm,5W/m2,285.7degree,20.4°C,30.3%,3.6km/h,91.1kPa
17:40                                                     1405/03/22,290.6mm,3W/m2,319.5degree,14.8°C,64.3%,1.4km/h,91.8kPa
17:40                                                     1405/03/23,290.6mm,2W/m2,154.6degree,22.2°C,37.0%,3.8km/h,91.7kPa
17:40                                                     1405/03/24,290.6mm,1W/m2,188.1degree,22.4°C,32.3%,3.0km/h,91.3kPa
17:40                                                     1405/03/25,295.0mm,13W/m2,125.7degree,16.5°C,85.0%,6.1km/h,90.8kPa
17:40                                                     1405/03/26,295.0mm,5W/m2,209.7degree,21.3°C,50.9%,9.2km/h,91.2kPa
17:40                                                     1405/03/27,297.2mm,5W/m2,193.3degree,22.0°C,51.4%,22.8km/h,90.7kPa
17:40                                                     1405/03/28,304.2mm,12W/m2,251.8degree,18.1°C,46.4%,4.0km/h,90.7kPa
17:40                                                     1405/03/29,304.2mm,4W/m2,283.6degree,16.6°C,51.3%,5.8km/h,90.9kPa
17:40                                                     1405/03/30,325.8mm,8W/m2,215.6degree,21.9°C,25.9%,12.5km/h,91.0kPa
17:40                                                     1405/03/31,325.8mm,11W/m2,175.7degree,22.8°C,25.3%,7.5km/h,90.7kPa
17:40                                                     1405/04/01,350.4mm,4W/m2,316.6degree,11.1°C,79.8%,3.0km/h,91.5kPa
17:40                                                     1405/04/02,350.6mm,13W/m2,115.0degree,12.3°C,71.8%,6.3km/h,91.7kPa
17:40                                                     1405/04/03,350.6mm,19W/m2,173.5degree,17.9°C,56.7%,3.6km/h,91.3kPa
17:40                                                     1405/04/04,350.6mm,7W/m2,202.6degree,20.9°C,39.3%,14.3km/h,90.8kPa
17:40                                                     1405/04/08,406.4mm,22W/m2,144.0degree,15.4°C,66.9%,3.2km/h,91.4kPa
17:40                                                     1405/04/09,406.4mm,30W/m2,69.3degree,15.9°C,57.9%,3.4km/h,91.5kPa
17:40                                                     1405/04/10,406.8mm,23W/m2,47.9degree,16.4°C,68.7%,1.9km/h,92.1kPa
17:40                                                     1405/04/11,406.8mm,31W/m2,145.1degree,22.2°C,41.7%,2.7km/h,92.2kPa
17:40                                                     1405/04/12,355.2mm,48W/m2,191.2degree,23.2°C,32.6%,6.2km/h,91.7kPa
17:40                                                     1405/04/13,355.2mm,21W/m2,199.6degree,22.9°C,44.5%,10.0km/h,91.3kPa
17:40                                                     1405/04/14,355.2mm,22W/m2,223.8degree,23.5°C,23.6%,5.8km/h,91.3kPa
17:40                                                     1405/04/15,355.2mm,23W/m2,64.6degree,16.2°C,53.2%,14.9km/h,91.7kPa
17:40                                                     1405/04/16,355.2mm,29W/m2,78.2degree,11.2°C,63.4%,13.4km/h,92.0kPa
17:40                                                     1405/04/17,355.2mm,23W/m2,55.3degree,13.8°C,45.3%,17.4km/h,92.1kPa
17:40                                                     1405/04/18,355.2mm,26W/m2,84.8degree,19.0°C,38.0%,5.9km/h,91.7kPa
17:40                                                     1405/04/19,355.2mm,31W/m2,175.7degree,25.2°C,28.3%,6.2km/h,91.2kPa
17:40                                                     1405/04/20,355.2mm,20W/m2,267.3degree,26.9°C,34.7%,5.2km/h,91.0kPa
17:40                                                     1405/04/21,355.2mm,10W/m2,115.7degree,22.7°C,44.2%,5.4km/h,91.0kPa
17:40                                                     1405/04/22,364.4mm,12W/m2,89.8degree,17.9°C,84.2%,12.2km/h,91.3kPa
17:40                                                     1405/04/23,367.4mm,46W/m2,102.8degree,23.9°C,49.6%,5.8km/h,91.3kPa
17:40                                                     1405/04/24,376.8mm,67W/m2,349.6degree,22.4°C,53.8%,3.9km/h,91.4kPa
17:40                                                     1405/04/25,376.8mm,20W/m2,149.9degree,27.3°C,38.0%,2.4km/h,91.5kPa
17:40                                                     1405/04/26,376.8mm,45W/m2,77.4degree,19.8°C,47.6%,12.2km/h,91.9kPa
17:40                                                     1405/04/27,376.8mm,13W/m2,104.5degree,22.8°C,42.5%,6.7km/h,91.3kPa
17:40                                                     1405/04/28,376.8mm,12W/m2,45.7degree,24.9°C,30.2%,13.4km/h,91.3kPa
17:40                                                     1405/04/29,376.8mm,52W/m2,99.4degree,25.6°C,33.9%,7.2km/h,91.2kPa
17:40                                                     1405/04/30,376.8mm,10W/m2,54.0degree,21.1°C,47.6%,5.9km/h,91.4kPa
17:40                                                     1405/05/01,376.8mm,3W/m2,48.5degree,16.7°C,60.5%,9.6km/h,91.8kPa
17:40                                                     1405/05/02,376.8mm,62W/m2,90.0degree,23.1°C,42.2%,7.8km/h,91.7kPa
17:40                                                     1405/05/03,376.8mm,60W/m2,62.0degree,24.1°C,32.0%,13.4km/h,91.7kPa
17:40                                                     1405/05/04,376.8mm,51W/m2,122.5degree,27.8°C,23.5%,3.0km/h,91.5kPa
17:40                                                     1405/05/05,376.8mm,45W/m2,136.6degree,32.0°C,18.9%,5.0km/h,91.4kPa
17:40                                                     1405/05/06,376.8mm,64W/m2,131.6degree,34.0°C,17.7%,4.0km/h,91.2kPa
17:40                                                     1405/05/07,376.8mm,59W/m2,86.7degree,28.0°C,35.5%,12.0km/h,91.4kPa
17:40                                                     1405/05/08,376.8mm,53W/m2,61.1degree,27.6°C,31.3%,19.2km/h,91.5kPa
17:40                                                     1405/05/09,376.8mm,34W/m2,47.9degree,23.2°C,35.2%,10.6km/h,91.6kPa
17:50                                                     1405/03/21,290.2mm,1W/m2,262.9degree,19.8°C,32.1%,8.1km/h,91.1kPa
17:50                                                     1405/03/22,290.6mm,1W/m2,303.6degree,14.5°C,63.8%,2.1km/h,91.8kPa
17:50                                                     1405/03/23,290.6mm,0W/m2,157.7degree,21.6°C,38.4%,2.5km/h,91.7kPa
